X,Y,name,name:en,place,landuse,population,is_in,source,name:af,name:nr,name:st,name:nso,name:ssw,name:ts,name:tn,name:ve,name:xh,name:zu,osm_id,osm_type
26.0908333,-25.3852778,Lekubu,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720957,nodes
27.9522222,-25.6066667,Mapetla,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721250,nodes
27.9288889,-25.3813889,Moiletswane,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721458,nodes
27.8975,-25.6033333,Mothutlung,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721522,nodes
27.975,-25.2152778,Motsheko,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721540,nodes
30.7988889,-24.6752778,Ngwetsintshage,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262721639,nodes
30.2613889,-31.0022222,Portobello,,town,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262721948,nodes
27.8872222,-32.5894444,Qumra,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262721975,nodes
27.1130556,-25.4627778,Rasimone,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721991,nodes
27.8233333,-25.3913889,Rietgat,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262722022,nodes
26.8663889,-28.0625,Saaiplaas,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262722082,nodes
27.7011111,-32.9566667,Sisulu Village,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722182,nodes
27.7652778,-32.9266667,Thembilihle,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722274,nodes
27.9113889,-25.1152778,Tlhowe,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262722288,nodes
27.3313889,-32.8661111,Tolofiyeni,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722291,nodes
27.3213889,-25.4677778,Tsitsing,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262722298,nodes
27.7744444,-32.9302778,Velwano,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722402,nodes
24.8269444,-33.2941667,Wolwefontein,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722534,nodes
27.3213889,-32.6741667,Zidenge,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722547,nodes
27.2872222,-32.6697222,Zindenge,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722549,nodes
28.1988889,-32.3347222,Zizamele,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722562,nodes
26.7647222,-27.8605556,Kutlwanong,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262720892,nodes
27.9302778,-25.0477778,Lebotlwane,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720949,nodes
30.2461111,-31.0186111,Leisure Crest,,town,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262720954,nodes
27.0663889,-25.3783333,Lekwadi,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720958,nodes
27.7519444,-32.9208333,Masibambane,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262721270,nodes
24.7538889,-27.5805556,Matolong,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721282,nodes
30.6733333,-28.2166667,Nqutu,,town,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,94823679,nodes
26.7789526,-26.8417343,Tulbach Flats,,,residential,,,,,,,,,,,,,,7464521989,nodes
19.0398803,-32.3544885,Bosdorp,,village,,,,,,,,,,,,,,,7410218687,nodes
26.8375,-29.0663889,Middeldeel,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262710129,nodes
