Name,Latitude,Longitude,Open,Description
Ngodwana Substation.,-25.5854567516067,30.63605884246315,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.43.20.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.42.57.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.42.34.jpeg"">


Can not walk around sub of overgrown bushes"
CTC GENERATOR NUMBER  02AG 100,-25.6405902327527,30.33315414718995,1,
CTC 11KV Substation 02AG 111,-25.640935,30.332403,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2025-04-14 at 14.52.59.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2025-04-14 at 14.52.42.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2025-04-14 at 14.52.29.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2025-04-14 at 14.52.20.jpeg"">"
Hemlock Relay Room,-25.59997632756074,30.57112122335315,1,"Windows broken
Gate not locked<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 17_1.16.03.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 17_1.15.49.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 17_1.15.41.jpeg"">"
Airlie Substation,-25.6051291850083,30.53020788068188,1,
Sycamore substation,-25.6081164,30.43494810000001,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.27.42(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.28.05(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.28.53.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.28.05.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.27.42.jpeg"">"
Waterval Onder Substation,-25.64612297326758,30.37355674967552,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.32.29.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.32.17.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.32.05.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.31.55.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.31.47.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.31.31.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 14_1.31.25.jpeg"">"
Waterval Boven Substation,-25.63963971084341,30.33522302853891,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 12_1.16.51.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 12_1.17.32.jpeg"">"
Waterval Boven Relay Room,-25.64141233346995,30.31406020422146,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 11_1.44.02.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 11_1.43.15.jpeg"">"
Machadodorp Substation,-25.65365225268275,30.26248650066406,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 10.12.42.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 10.11.03.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 10.10.54.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 10.10.05.jpeg"">"
Machadodorp Relay Room,-25.66169750217398,30.25160854186792,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.45.17.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.45.07.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.44.57.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.44.41.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.44.14.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.44.08.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.43.55(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 09.43.55.jpeg"">"
Fairview Substation,-25.71798391790867,30.21938474222265,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08_1.51.05.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08_1.50.49.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08_1.50.16.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08_1.50.01.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08_1.49.35.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08_1.48.10.jpeg"">"
Dalmanuta 132kv traction substation.,-25.75566533079175,30.15133389714687,1,"Dalmanuta 132kv traction substation. Palisade fencing damaged . No lighting . Stable for horses behind the station<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.42.34(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.41.57(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.41.37(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.41.28(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.40.53(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.40.39(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.39.55(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.39.06(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.38.29(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.38.04(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 12.37.47(1).jpeg"">"
Belfast Substation,-25.7143821885756,30.07394313368368,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 11.11.00(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 11.10.44(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 11.10.10(2).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 11.09.57(2).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 11.10.10(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 11.09.57(1).jpeg"">"
Relay Room,-25.71261101710908,30.07195312489683,1,"KMP 103/7<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 11.07.00(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 11.06.33(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 11.06.20(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-17 at 11.06.01(1).jpeg"">"
