name,name:en,place,landuse,population,is_in,source,name:af,name:nr,name:st,name:nso,name:ssw,name:ts,name:tn,name:ve,name:xh,name:zu,osm_id,osm_type
Elandsrivier,,isolated_dwelling,,,,,,,,,,,,,,,7160641215,nodes
Blomfontein,,isolated_dwelling,,,,,,,,,,,,,,,7160472116,nodes
Klein Blomfontein,,isolated_dwelling,,,,,,,,,,,,,,,7160472117,nodes
Vlooikraal,,isolated_dwelling,,,,,,,,,,,,,,,7160472556,nodes
Riverside,,isolated_dwelling,,,,,,,,,,,,,,,7160472557,nodes
Koekenaap,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262707741,nodes
Roedtan,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262715587,nodes
Kakamas,,village,,,"Northern Cape, South Africa",sagns,,,,,,,,,,,262720759,nodes
Klawer,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262720833,nodes
Loeriesfontein,,town,,,"Northern Cape, South Africa",sagns,,,,,,,,,,,262721009,nodes
Sikwane,,village,,,,,,,,,,,,,,,2466744584,nodes
Dwarskersbos,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719961,nodes
Keurboomstrand,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262720786,nodes
Wittedrif,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262722528,nodes
Boetsap,,village,,,,,,,,,,,,,,,1388683790,nodes
Werda,,village,,,,,,,,,,,,,,,1484971111,nodes
Makopong,,village,,,,,,,,,,,,,,,2454849208,nodes
Ramatlabama,,village,,,,,,,,,,,,,,,2469706124,nodes
Bokspits,,village,,,,,,,,,,,,,,,2449326560,nodes
Bogogobo,,village,,,,,,,,,,,,,,,2454162967,nodes
Mmathubudukwane,,village,,,,,,,,,,,,,,,2466725240,nodes
Ramonaka,,village,,,,,,,,,,,,,,,2466739807,nodes
Dithakong,,village,,,,,,,,,,,,,,,4189248778,nodes
Worcester,Worcester,town,,97098,,sagns,,,,,,,,,,,30670038,nodes
Vrede,,village,,,,,,,,,,,,,,,2305953546,nodes
Ndumo Wilderness Camp,,village,,,,,,,,,,,,,,,2060116576,nodes
